description,industry,level,size,line_code,value
Percentage of staff with internet access: 1-25%,Insurance,2,total,B0300.01,0
Percentage of staff with internet access: 1-25%,Auxiliary,2,total,B0300.01,0
Percentage of staff with internet access: 1-25%,"Rental, hiring, & real estate services",1,total,B0300.01,78
Percentage of staff with internet access: 1-25%,"Professional, scientific, & technical services",1,total,B0300.01,99
Percentage of staff with internet access: 1-25%,Computer systems design,2,total,B0300.01,0
Percentage of staff with internet access: 1-25%,Other professional scientific,2,total,B0300.01,102
Percentage of staff with internet access: 1-25%,Administrative & support services,1,total,B0300.01,348
Percentage of staff with internet access: 1-25%,Education & training,1,total,B0300.01,66
Percentage of staff with internet access: 1-25%,Health care & social assistance,1,total,B0300.01,126
Percentage of staff with internet access: 1-25%,Arts & recreation services,1,total,B0300.01,75
Percentage of staff with internet access: 1-25%,Other services,1,total,B0300.01,138
Percentage of staff with internet access: 1-25%,total,0,total,B0300.01,8853
Percentage of staff with internet access: 26-50%,total,0,6–19 employees,B0300.02,2481
Percentage of staff with internet access: 26-50%,total,0,20–49 employees,B0300.02,861
Percentage of staff with internet access: 26-50%,total,0,50–99 employees,B0300.02,303
Percentage of staff with internet access: 26-50%,total,0,100+ employees,B0300.02,186
Percentage of staff with internet access: 26-50%,"Agriculture, forestry, & fishing",1,total,B0300.02,450
Percentage of staff with internet access: 26-50%,Agriculture,2,total,B0300.02,324
Percentage of staff with internet access: 26-50%,Commercial fishing,2,total,B0300.02,9
Percentage of staff with internet access: 26-50%,Forestry & logging,2,total,B0300.02,24
Percentage of staff with internet access: 26-50%,"Agriculture, forestry, & fishing support services",2,total,B0300.02,96
Percentage of staff with internet access: 26-50%,Mining,1,total,B0300.02,27
Percentage of staff with internet access: 26-50%,Manufacturing,1,total,B0300.02,1098
Percentage of staff with internet access: 26-50%,"Food, beverage, & tobacco",2,total,B0300.02,171
Percentage of staff with internet access: 26-50%,"Textile, clothing, footwear, & leather",2,total,B0300.02,45
Percentage of staff with internet access: 26-50%,Wood & paper product,2,total,B0300.02,156
Percentage of staff with internet access: 26-50%,"Printing, publishing, & recorded media",2,total,B0300.02,42
Percentage of staff with internet access: 26-50%,"Petroleum, coal, chemical, & associated product",2,total,B0300.02,75
Percentage of staff with internet access: 26-50%,Non-metallic mineral product,2,total,B0300.02,42
Percentage of staff with internet access: 26-50%,Metal product,2,total,B0300.02,267
Percentage of staff with internet access: 26-50%,Transport and industrial machinery & equipment,2,total,B0300.02,183
Percentage of staff with internet access: 26-50%,Other machinery & equipment,2,total,B0300.02,33
Percentage of staff with internet access: 26-50%,Other manufacturing,2,total,B0300.02,87
Percentage of staff with internet access: 26-50%,"Electricity, gas, water, & waste services",1,total,B0300.02,21
Percentage of staff with internet access: 26-50%,Construction,1,total,B0300.02,741
Percentage of staff with internet access: 26-50%,Wholesale trade,1,total,B0300.02,135
Percentage of staff with internet access: 26-50%,Machinery & equipment wholesaling,2,total,B0300.02,0
Percentage of staff with internet access: 26-50%,Other wholesale trade,2,total,B0300.02,132
Percentage of staff with internet access: 26-50%,Retail trade,1,total,B0300.02,294
Percentage of staff with internet access: 26-50%,Accommodation & food services,1,total,B0300.02,474
Percentage of staff with internet access: 26-50%,"Transport, postal, & warehousing",1,total,B0300.02,66
Percentage of staff with internet access: 26-50%,Information media & telecommunications,1,total,B0300.02,9
Percentage of staff with internet access: 26-50%,Publishing,2,total,B0300.02,0
Percentage of staff with internet access: 26-50%,Motion picture,2,total,B0300.02,6
Percentage of staff with internet access: 26-50%,Telecommunications,2,total,B0300.02,0
Percentage of staff with internet access: 26-50%,Financial & insurance services,1,total,B0300.02,6
Percentage of staff with internet access: 26-50%,Finance,2,total,B0300.02,3
Percentage of staff with internet access: 26-50%,Insurance,2,total,B0300.02,0
Percentage of staff with internet access: 26-50%,Auxiliary,2,total,B0300.02,3
Percentage of staff with internet access: 26-50%,"Rental, hiring, & real estate services",1,total,B0300.02,39
Percentage of staff with internet access: 26-50%,"Professional, scientific, & technical services",1,total,B0300.02,39
Percentage of staff with internet access: 26-50%,Computer systems design,2,total,B0300.02,3
Percentage of staff with internet access: 26-50%,Other professional scientific,2,total,B0300.02,39
Percentage of staff with internet access: 26-50%,Administrative & support services,1,total,B0300.02,105
Percentage of staff with internet access: 26-50%,Education & training,1,total,B0300.02,18
Percentage of staff with internet access: 26-50%,Health care & social assistance,1,total,B0300.02,165
Percentage of staff with internet access: 26-50%,Arts & recreation services,1,total,B0300.02,78
Percentage of staff with internet access: 26-50%,Other services,1,total,B0300.02,69
Percentage of staff with internet access: 26-50%,total,0,total,B0300.02,3834
Percentage of staff with internet access: 51-75%,total,0,6–19 employees,B0300.03,1665
Percentage of staff with internet access: 51-75%,total,0,20–49 employees,B0300.03,684
Percentage of staff with internet access: 51-75%,total,0,50–99 employees,B0300.03,234
Percentage of staff with internet access: 51-75%,total,0,100+ employees,B0300.03,192
Percentage of staff with internet access: 51-75%,"Agriculture, forestry, & fishing",1,total,B0300.03,270
Percentage of staff with internet access: 51-75%,Agriculture,2,total,B0300.03,207
Percentage of staff with internet access: 51-75%,Commercial fishing,2,total,B0300.03,6
Percentage of staff with internet access: 51-75%,Forestry & logging,2,total,B0300.03,6
Percentage of staff with internet access: 51-75%,"Agriculture, forestry, & fishing support services",2,total,B0300.03,51
Percentage of staff with internet access: 51-75%,Mining,1,total,B0300.03,15
Percentage of staff with internet access: 51-75%,Manufacturing,1,total,B0300.03,630
Percentage of staff with internet access: 51-75%,"Food, beverage, & tobacco",2,total,B0300.03,165
Percentage of staff with internet access: 51-75%,"Textile, clothing, footwear, & leather",2,total,B0300.03,21
Percentage of staff with internet access: 51-75%,Wood & paper product,2,total,B0300.03,63
Percentage of staff with internet access: 51-75%,"Printing, publishing, & recorded media",2,total,B0300.03,27
Percentage of staff with internet access: 51-75%,"Petroleum, coal, chemical, & associated product",2,total,B0300.03,51
Percentage of staff with internet access: 51-75%,Non-metallic mineral product,2,total,B0300.03,21
Percentage of staff with internet access: 51-75%,Metal product,2,total,B0300.03,60
Percentage of staff with internet access: 51-75%,Transport and industrial machinery & equipment,2,total,B0300.03,123
Percentage of staff with internet access: 51-75%,Other machinery & equipment,2,total,B0300.03,33
Percentage of staff with internet access: 51-75%,Other manufacturing,2,total,B0300.03,63
Percentage of staff with internet access: 51-75%,"Electricity, gas, water, & waste services",1,total,B0300.03,15
Percentage of staff with internet access: 51-75%,Construction,1,total,B0300.03,504
Percentage of staff with internet access: 51-75%,Wholesale trade,1,total,B0300.03,198
Percentage of staff with internet access: 51-75%,Machinery & equipment wholesaling,2,total,B0300.03,21
Percentage of staff with internet access: 51-75%,Other wholesale trade,2,total,B0300.03,177
Percentage of staff with internet access: 51-75%,Retail trade,1,total,B0300.03,186
Percentage of staff with internet access: 51-75%,Accommodation & food services,1,total,B0300.03,393
Percentage of staff with internet access: 51-75%,"Transport, postal, & warehousing",1,total,B0300.03,105
Percentage of staff with internet access: 51-75%,Information media & telecommunications,1,total,B0300.03,3
Percentage of staff with internet access: 51-75%,Publishing,2,total,B0300.03,0
Percentage of staff with internet access: 51-75%,Motion picture,2,total,B0300.03,0
Percentage of staff with internet access: 51-75%,Telecommunications,2,total,B0300.03,0
Percentage of staff with internet access: 51-75%,Financial & insurance services,1,total,B0300.03,3
Percentage of staff with internet access: 51-75%,Finance,2,total,B0300.03,3
Percentage of staff with internet access: 51-75%,Insurance,2,total,B0300.03,0
Percentage of staff with internet access: 51-75%,Auxiliary,2,total,B0300.03,0
Percentage of staff with internet access: 51-75%,"Rental, hiring, & real estate services",1,total,B0300.03,21
Percentage of staff with internet access: 51-75%,"Professional, scientific, & technical services",1,total,B0300.03,33
Percentage of staff with internet access: 51-75%,Computer systems design,2,total,B0300.03,3
Percentage of staff with internet access: 51-75%,Other professional scientific,2,total,B0300.03,30
Percentage of staff with internet access: 51-75%,Administrative & support services,1,total,B0300.03,132
Percentage of staff with internet access: 51-75%,Education & training,1,total,B0300.03,39
Percentage of staff with internet access: 51-75%,Health care & social assistance,1,total,B0300.03,102
Percentage of staff with internet access: 51-75%,Arts & recreation services,1,total,B0300.03,45
Percentage of staff with internet access: 51-75%,Other services,1,total,B0300.03,75
Percentage of staff with internet access: 51-75%,total,0,total,B0300.03,2775
Percentage of staff with internet access: 76-99%,total,0,6–19 employees,B0300.04,2733
Percentage of staff with internet access: 76-99%,total,0,20–49 employees,B0300.04,1119
Percentage of staff with internet access: 76-99%,total,0,50–99 employees,B0300.04,384
Percentage of staff with internet access: 76-99%,total,0,100+ employees,B0300.04,414
Percentage of staff with internet access: 76-99%,"Agriculture, forestry, & fishing",1,total,B0300.04,360
Percentage of staff with internet access: 76-99%,Agriculture,2,total,B0300.04,243
Percentage of staff with internet access: 76-99%,Commercial fishing,2,total,B0300.04,3
Percentage of staff with internet access: 76-99%,Forestry & logging,2,total,B0300.04,33
Percentage of staff with internet access: 76-99%,"Agriculture, forestry, & fishing support services",2,total,B0300.04,81
Percentage of staff with internet access: 76-99%,Mining,1,total,B0300.04,15
Percentage of staff with internet access: 76-99%,Manufacturing,1,total,B0300.04,753
Percentage of staff with internet access: 76-99%,"Food, beverage, & tobacco",2,total,B0300.04,144
Percentage of staff with internet access: 76-99%,"Textile, clothing, footwear, & leather",2,total,B0300.04,21
Percentage of staff with internet access: 76-99%,Wood & paper product,2,total,B0300.04,81
Percentage of staff with internet access: 76-99%,"Printing, publishing, & recorded media",2,total,B0300.04,48
Percentage of staff with internet access: 76-99%,"Petroleum, coal, chemical, & associated product",2,total,B0300.04,81
Percentage of staff with internet access: 76-99%,Non-metallic mineral product,2,total,B0300.04,24
Percentage of staff with internet access: 76-99%,Metal product,2,total,B0300.04,150
Percentage of staff with internet access: 76-99%,Transport and industrial machinery & equipment,2,total,B0300.04,132
Percentage of staff with internet access: 76-99%,Other machinery & equipment,2,total,B0300.04,27
Percentage of staff with internet access: 76-99%,Other manufacturing,2,total,B0300.04,48
Percentage of staff with internet access: 76-99%,"Electricity, gas, water, & waste services",1,total,B0300.04,36
Percentage of staff with internet access: 76-99%,Construction,1,total,B0300.04,843
Percentage of staff with internet access: 76-99%,Wholesale trade,1,total,B0300.04,525
Percentage of staff with internet access: 76-99%,Machinery & equipment wholesaling,2,total,B0300.04,111
Percentage of staff with internet access: 76-99%,Other wholesale trade,2,total,B0300.04,414
Percentage of staff with internet access: 76-99%,Retail trade,1,total,B0300.04,462
Percentage of staff with internet access: 76-99%,Accommodation & food services,1,total,B0300.04,417
Percentage of staff with internet access: 76-99%,"Transport, postal, & warehousing",1,total,B0300.04,207
Percentage of staff with internet access: 76-99%,Information media & telecommunications,1,total,B0300.04,15
Percentage of staff with internet access: 76-99%,Publishing,2,total,B0300.04,3
Percentage of staff with internet access: 76-99%,Motion picture,2,total,B0300.04,12
Percentage of staff with internet access: 76-99%,Telecommunications,2,total,B0300.04,0
Percentage of staff with internet access: 76-99%,Financial & insurance services,1,total,B0300.04,18
Percentage of staff with internet access: 76-99%,Finance,2,total,B0300.04,15
Percentage of staff with internet access: 76-99%,Insurance,2,total,B0300.04,0
Percentage of staff with internet access: 76-99%,Auxiliary,2,total,B0300.04,3
Percentage of staff with internet access: 76-99%,"Rental, hiring, & real estate services",1,total,B0300.04,54
Percentage of staff with internet access: 76-99%,"Professional, scientific, & technical services",1,total,B0300.04,129
Percentage of staff with internet access: 76-99%,Computer systems design,2,total,B0300.04,15
Percentage of staff with internet access: 76-99%,Other professional scientific,2,total,B0300.04,117
Percentage of staff with internet access: 76-99%,Administrative & support services,1,total,B0300.04,84
Percentage of staff with internet access: 76-99%,Education & training,1,total,B0300.04,135
Percentage of staff with internet access: 76-99%,Health care & social assistance,1,total,B0300.04,336
Percentage of staff with internet access: 76-99%,Arts & recreation services,1,total,B0300.04,63
Percentage of staff with internet access: 76-99%,Other services,1,total,B0300.04,189
Percentage of staff with internet access: 76-99%,total,0,total,B0300.04,4653
Percentage of staff with internet access: 100%,total,0,6–19 employees,B0300.05,19671
Percentage of staff with internet access: 100%,total,0,20–49 employees,B0300.05,4110
Percentage of staff with internet access: 100%,total,0,50–99 employees,B0300.05,1071
Percentage of staff with internet access: 100%,total,0,100+ employees,B0300.05,840
Percentage of staff with internet access: 100%,"Agriculture, forestry, & fishing",1,total,B0300.05,1035
Percentage of staff with internet access: 100%,Agriculture,2,total,B0300.05,729
Percentage of staff with internet access: 100%,Commercial fishing,2,total,B0300.05,15
Percentage of staff with internet access: 100%,Forestry & logging,2,total,B0300.05,21
Percentage of staff with internet access: 100%,"Agriculture, forestry, & fishing support services",2,total,B0300.05,270
Percentage of staff with internet access: 100%,Mining,1,total,B0300.05,27
Percentage of staff with internet access: 100%,Manufacturing,1,total,B0300.05,1524
Percentage of staff with internet access: 100%,"Food, beverage, & tobacco",2,total,B0300.05,372
Percentage of staff with internet access: 100%,"Textile, clothing, footwear, & leather",2,total,B0300.05,81
Percentage of staff with internet access: 100%,Wood & paper product,2,total,B0300.05,81
Percentage of staff with internet access: 100%,"Printing, publishing, & recorded media",2,total,B0300.05,78
Percentage of staff with internet access: 100%,"Petroleum, coal, chemical, & associated product",2,total,B0300.05,123
Percentage of staff with internet access: 100%,Non-metallic mineral product,2,total,B0300.05,66
Percentage of staff with internet access: 100%,Metal product,2,total,B0300.05,210
Percentage of staff with internet access: 100%,Transport and industrial machinery & equipment,2,total,B0300.05,249
Percentage of staff with internet access: 100%,Other machinery & equipment,2,total,B0300.05,135
Percentage of staff with internet access: 100%,Other manufacturing,2,total,B0300.05,132
Percentage of staff with internet access: 100%,"Electricity, gas, water, & waste services",1,total,B0300.05,96
Percentage of staff with internet access: 100%,Construction,1,total,B0300.05,2988
Percentage of staff with internet access: 100%,Wholesale trade,1,total,B0300.05,2079
Percentage of staff with internet access: 100%,Machinery & equipment wholesaling,2,total,B0300.05,822
Percentage of staff with internet access: 100%,Other wholesale trade,2,total,B0300.05,1257
Percentage of staff with internet access: 100%,Retail trade,1,total,B0300.05,3216
Percentage of staff with internet access: 100%,Accommodation & food services,1,total,B0300.05,2373
Percentage of staff with internet access: 100%,"Transport, postal, & warehousing",1,total,B0300.05,843
Percentage of staff with internet access: 100%,Information media & telecommunications,1,total,B0300.05,387
Percentage of staff with internet access: 100%,Publishing,2,total,B0300.05,162
Percentage of staff with internet access: 100%,Motion picture,2,total,B0300.05,102
Percentage of staff with internet access: 100%,Telecommunications,2,total,B0300.05,120
Percentage of staff with internet access: 100%,Financial & insurance services,1,total,B0300.05,609
Percentage of staff with internet access: 100%,Finance,2,total,B0300.05,162
Percentage of staff with internet access: 100%,Insurance,2,total,B0300.05,36
Percentage of staff with internet access: 100%,Auxiliary,2,total,B0300.05,414
Percentage of staff with internet access: 100%,"Rental, hiring, & real estate services",1,total,B0300.05,819
Percentage of staff with internet access: 100%,"Professional, scientific, & technical services",1,total,B0300.05,4677
Percentage of staff with internet access: 100%,Computer systems design,2,total,B0300.05,921
Percentage of staff with internet access: 100%,Other professional scientific,2,total,B0300.05,3756
Percentage of staff with internet access: 100%,Administrative & support services,1,total,B0300.05,990
Percentage of staff with internet access: 100%,Education & training,1,total,B0300.05,840
Percentage of staff with internet access: 100%,Health care & social assistance,1,total,B0300.05,2055
Percentage of staff with internet access: 100%,Arts & recreation services,1,total,B0300.05,243
Percentage of staff with internet access: 100%,Other services,1,total,B0300.05,876
Percentage of staff with internet access: 100%,total,0,total,B0300.05,25692
Percentage of staff with internet access: no use,total,0,6–19 employees,B0300.06,1905
Percentage of staff with internet access: no use,total,0,20–49 employees,B0300.06,150
Percentage of staff with internet access: no use,total,0,50–99 employees,B0300.06,12
Percentage of staff with internet access: no use,total,0,100+ employees,B0300.06,3
Percentage of staff with internet access: no use,"Agriculture, forestry, & fishing",1,total,B0300.06,273
Percentage of staff with internet access: no use,Agriculture,2,total,B0300.06,75
Percentage of staff with internet access: no use,Commercial fishing,2,total,B0300.06,3
Percentage of staff with internet access: no use,Forestry & logging,2,total,B0300.06,33
Percentage of staff with internet access: no use,"Agriculture, forestry, & fishing support services",2,total,B0300.06,165
Percentage of staff with internet access: no use,Mining,1,total,B0300.06,9
Percentage of staff with internet access: no use,Manufacturing,1,total,B0300.06,105
Percentage of staff with internet access: no use,"Food, beverage, & tobacco",2,total,B0300.06,45
Percentage of staff with internet access: no use,"Textile, clothing, footwear, & leather",2,total,B0300.06,3
Percentage of staff with internet access: no use,Wood & paper product,2,total,B0300.06,3
Percentage of staff with internet access: no use,"Printing, publishing, & recorded media",2,total,B0300.06,0
Percentage of staff with internet access: no use,"Petroleum, coal, chemical, & associated product",2,total,B0300.06,0
Percentage of staff with internet access: no use,Non-metallic mineral product,2,total,B0300.06,0
Percentage of staff with internet access: no use,Metal product,2,total,B0300.06,51
Percentage of staff with internet access: no use,Transport and industrial machinery & equipment,2,total,B0300.06,0
Percentage of staff with internet access: no use,Other machinery & equipment,2,total,B0300.06,0
Percentage of staff with internet access: no use,Other manufacturing,2,total,B0300.06,3
Percentage of staff with internet access: no use,"Electricity, gas, water, & waste services",1,total,B0300.06,3
Percentage of staff with internet access: no use,Construction,1,total,B0300.06,426
Percentage of staff with internet access: no use,Wholesale trade,1,total,B0300.06,12
Percentage of staff with internet access: no use,Machinery & equipment wholesaling,2,total,B0300.06,0
Percentage of staff with internet access: no use,Other wholesale trade,2,total,B0300.06,9
Percentage of staff with internet access: no use,Retail trade,1,total,B0300.06,189
Percentage of staff with internet access: no use,Accommodation & food services,1,total,B0300.06,783
Percentage of staff with internet access: no use,"Transport, postal, & warehousing",1,total,B0300.06,102
Percentage of staff with internet access: no use,Information media & telecommunications,1,total,B0300.06,0
Percentage of staff with internet access: no use,Publishing,2,total,B0300.06,0
Percentage of staff with internet access: no use,Motion picture,2,total,B0300.06,0
Percentage of staff with internet access: no use,Telecommunications,2,total,B0300.06,0
Percentage of staff with internet access: no use,Financial & insurance services,1,total,B0300.06,0
Percentage of staff with internet access: no use,Finance,2,total,B0300.06,3
Percentage of staff with internet access: no use,Insurance,2,total,B0300.06,0
Percentage of staff with internet access: no use,Auxiliary,2,total,B0300.06,0
Percentage of staff with internet access: no use,"Rental, hiring, & real estate services",1,total,B0300.06,0
Percentage of staff with internet access: no use,"Professional, scientific, & technical services",1,total,B0300.06,0
Percentage of staff with internet access: no use,Computer systems design,2,total,B0300.06,0
Percentage of staff with internet access: no use,Other professional scientific,2,total,B0300.06,0
Percentage of staff with internet access: no use,Administrative & support services,1,total,B0300.06,60
Percentage of staff with internet access: no use,Education & training,1,total,B0300.06,21
Percentage of staff with internet access: no use,Health care & social assistance,1,total,B0300.06,18
Percentage of staff with internet access: no use,Arts & recreation services,1,total,B0300.06,18
Percentage of staff with internet access: no use,Other services,1,total,B0300.06,45
Percentage of staff with internet access: no use,total,0,total,B0300.06,2070
Type of internet connection used: DSL,total,0,6–19 employees,B0401,4797
Type of internet connection used: DSL,total,0,20–49 employees,B0401,1281
Type of internet connection used: DSL,total,0,50–99 employees,B0401,471
Type of internet connection used: DSL,total,0,100+ employees,B0401,444
Type of internet connection used: DSL,"Agriculture, forestry, & fishing",1,total,B0401,675
Type of internet connection used: DSL,Agriculture,2,total,B0401,531
Type of internet connection used: DSL,Commercial fishing,2,total,B0401,9
Type of internet connection used: DSL,Forestry & logging,2,total,B0401,27
Type of internet connection used: DSL,"Agriculture, forestry, & fishing support services",2,total,B0401,108
Type of internet connection used: DSL,Mining,1,total,B0401,30
Type of internet connection used: DSL,Manufacturing,1,total,B0401,777
Type of internet connection used: DSL,"Food, beverage, & tobacco",2,total,B0401,222
Type of internet connection used: DSL,"Textile, clothing, footwear, & leather",2,total,B0401,27
Type of internet connection used: DSL,Wood & paper product,2,total,B0401,105
Type of internet connection used: DSL,"Printing, publishing, & recorded media",2,total,B0401,27
Type of internet connection used: DSL,"Petroleum, coal, chemical, & associated product",2,total,B0401,69
Type of internet connection used: DSL,Non-metallic mineral product,2,total,B0401,39
Type of internet connection used: DSL,Metal product,2,total,B0401,102
Type of internet connection used: DSL,Transport and industrial machinery & equipment,2,total,B0401,105
Type of internet connection used: DSL,Other machinery & equipment,2,total,B0401,30
Type of internet connection used: DSL,Other manufacturing,2,total,B0401,48
Type of internet connection used: DSL,"Electricity, gas, water, & waste services",1,total,B0401,45
Type of internet connection used: DSL,Construction,1,total,B0401,807
Type of internet connection used: DSL,Wholesale trade,1,total,B0401,276
Type of internet connection used: DSL,Machinery & equipment wholesaling,2,total,B0401,123
Type of internet connection used: DSL,Other wholesale trade,2,total,B0401,153
Type of internet connection used: DSL,Retail trade,1,total,B0401,1143
Type of internet connection used: DSL,Accommodation & food services,1,total,B0401,942
Type of internet connection used: DSL,"Transport, postal, & warehousing",1,total,B0401,330
Type of internet connection used: DSL,Information media & telecommunications,1,total,B0401,72
Type of internet connection used: DSL,Publishing,2,total,B0401,21
Type of internet connection used: DSL,Motion picture,2,total,B0401,18
Type of internet connection used: DSL,Telecommunications,2,total,B0401,30
Type of internet connection used: DSL,Financial & insurance services,1,total,B0401,60
Type of internet connection used: DSL,Finance,2,total,B0401,27
Type of internet connection used: DSL,Insurance,2,total,B0401,6
Type of internet connection used: DSL,Auxiliary,2,total,B0401,30
Type of internet connection used: DSL,"Rental, hiring, & real estate services",1,total,B0401,129
Type of internet connection used: DSL,"Professional, scientific, & technical services",1,total,B0401,573
Type of internet connection used: DSL,Computer systems design,2,total,B0401,105
Type of internet connection used: DSL,Other professional scientific,2,total,B0401,468
Type of internet connection used: DSL,Administrative & support services,1,total,B0401,261
Type of internet connection used: DSL,Education & training,1,total,B0401,177
Type of internet connection used: DSL,Health care & social assistance,1,total,B0401,447
Type of internet connection used: DSL,Arts & recreation services,1,total,B0401,84
Type of internet connection used: DSL,Other services,1,total,B0401,162
Type of internet connection used: DSL,total,0,total,B0401,6996
Type of internet connection used: fibre to the premise,total,0,6–19 employees,B0402,20415
Type of internet connection used: fibre to the premise,total,0,20–49 employees,B0402,5781
Type of internet connection used: fibre to the premise,total,0,50–99 employees,B0402,1830
Type of internet connection used: fibre to the premise,total,0,100+ employees,B0402,1503
Type of internet connection used: fibre to the premise,"Agriculture, forestry, & fishing",1,total,B0402,741
Type of internet connection used: fibre to the premise,Agriculture,2,total,B0402,408
Type of internet connection used: fibre to the premise,Commercial fishing,2,total,B0402,24
Type of internet connection used: fibre to the premise,Forestry & logging,2,total,B0402,60
Type of internet connection used: fibre to the premise,"Agriculture, forestry, & fishing support services",2,total,B0402,252
Type of internet connection used: fibre to the premise,Mining,1,total,B0402,48
Type of internet connection used: fibre to the premise,Manufacturing,1,total,B0402,3666
Type of internet connection used: fibre to the premise,"Food, beverage, & tobacco",2,total,B0402,696
Type of internet connection used: fibre to the premise,"Textile, clothing, footwear, & leather",2,total,B0402,171
Type of internet connection used: fibre to the premise,Wood & paper product,2,total,B0402,333
Type of internet connection used: fibre to the premise,"Printing, publishing, & recorded media",2,total,B0402,162
Type of internet connection used: fibre to the premise,"Petroleum, coal, chemical, & associated product",2,total,B0402,336
Type of internet connection used: fibre to the premise,Non-metallic mineral product,2,total,B0402,129
Type of internet connection used: fibre to the premise,Metal product,2,total,B0402,699
Type of internet connection used: fibre to the premise,Transport and industrial machinery & equipment,2,total,B0402,654
Type of internet connection used: fibre to the premise,Other machinery & equipment,2,total,B0402,204
Type of internet connection used: fibre to the premise,Other manufacturing,2,total,B0402,282
Type of internet connection used: fibre to the premise,"Electricity, gas, water, & waste services",1,total,B0402,138
Type of internet connection used: fibre to the premise,Construction,1,total,B0402,4125
Type of internet connection used: fibre to the premise,Wholesale trade,1,total,B0402,2379
Type of internet connection used: fibre to the premise,Machinery & equipment wholesaling,2,total,B0402,747
Type of internet connection used: fibre to the premise,Other wholesale trade,2,total,B0402,1629
Type of internet connection used: fibre to the premise,Retail trade,1,total,B0402,3339
Type of internet connection used: fibre to the premise,Accommodation & food services,1,total,B0402,3816
Type of internet connection used: fibre to the premise,"Transport, postal, & warehousing",1,total,B0402,915
Type of internet connection used: fibre to the premise,Information media & telecommunications,1,total,B0402,318
Type of internet connection used: fibre to the premise,Publishing,2,total,B0402,120
Type of internet connection used: fibre to the premise,Motion picture,2,total,B0402,96
Type of internet connection used: fibre to the premise,Telecommunications,2,total,B0402,96
Type of internet connection used: fibre to the premise,Financial & insurance services,1,total,B0402,507
Type of internet connection used: fibre to the premise,Finance,2,total,B0402,132
Type of internet connection used: fibre to the premise,Insurance,2,total,B0402,24
Type of internet connection used: fibre to the premise,Auxiliary,2,total,B0402,351
Type of internet connection used: fibre to the premise,"Rental, hiring, & real estate services",1,total,B0402,699
Type of internet connection used: fibre to the premise,"Professional, scientific, & technical services",1,total,B0402,3945
Type of internet connection used: fibre to the premise,Computer systems design,2,total,B0402,702
Type of internet connection used: fibre to the premise,Other professional scientific,2,total,B0402,3246
Type of internet connection used: fibre to the premise,Administrative & support services,1,total,B0402,1029
Type of internet connection used: fibre to the premise,Education & training,1,total,B0402,759
Type of internet connection used: fibre to the premise,Health care & social assistance,1,total,B0402,1884
